Partidas,Time 1,Time 2,Cartão Amarelo time 1,Cartão Amarelo time 2,Cartão vermelho time 1,Cartão vermelho time 2,Faltas Time 1,Faltas Time 2
"QATAR,ECUADOR",Qatar,Equador,4,2,0,0,15,15
"ENGLAND, Iran",England,Iran,0,2,0,0,9,14
"SENEGAL,NETHERLANDS",Senegal,Netherlands,2,1,0,0,13,13
"UNITED STATES,WALES",United States,Wales,4,2,0,0,15,10
"ARGENTINA,SAUDI ARABIA",Argentina,Saudi Arabia,0,6,0,0,7,21
"DENMARK,TUNISIA",Denmark,Tunisia,2,1,0,0,9,10
"MEXICO,POLAND",Mexico,Poland,2,0,0,0,14,16
"FRANCE,AUSTRALIA",France,Australia,0,3,0,0,5,11
"MOROCCO,CROATIA",Morocco,Croatia,1,0,0,0,17,11
"GERMANY,JAPAN",Germany,Japan,0,0,0,0,6,14
"SPAIN,COSTA RICA",Spain,Costa RIca,0,2,0,0,8,12
"BELGIUM,CANADA",Belgium,Canada,3,2,0,0,11,14
"SWITZERLAND,CAMEROON",Switzerland,Cameroon,2,1,0,0,12,10
"URUGUAY,KOREA REPUBLIC",Uruguay,Korea Republic,1,1,0,0,7,10
"PORTUGAL,GHANA",Portugal,Ghana,2,4,0,0,14,19
"BRAZIL,SERBIA",Brazil,Serbia,0,3,0,0,7,12
"WALES,IRAN",Wales,Iran,1,2,1,0,9,10
"QATAR,SENEGAL",Qatar,Senegal,3,3,0,0,7,12
"NETHERLANDS,ECUADOR",Netherlands,Ecuador,0,1,0,0,15,12
"ENGLAND,UNITED STATES",England,United States,0,0,0,0,9,15
"TUNISIA,AUSTRALIA",Tunisia,Australia,3,0,0,0,16,15
"POLAND,SAUDI ARABIA",Poland,Saudi Arabia,3,2,0,0,18,15
"FRANCE,DENMARK",France,Denmark,1,2,0,0,4,9
"ARGENTINA,MEXICO",Argentina,Mexico,1,4,0,0,15,19
"JAPAN,COSTA RICA",Japan,Costa RIca,3,3,0,0,22,9
"BELGIUM,MOROCCO",Belgium,Morocco,1,1,0,0,10,14
"CROATIA,CANADA",Croatia,Canada,2,2,0,0,13,5
"SPAIN,GERMANY",Spain,Germany,1,3,0,0,13,11
"CAMEROON,SERBIA",Cameroon,Serbia,2,2,0,0,8,13
"KOREA REPUBLIC,GHANA",Korea Republic,Ghana,2,2,0,0,13,9
"BRAZIL,SWITZERLAND",Brazil,Switzerland,1,1,0,0,10,17
"PORTUGAL,URUGUAY",Portugal,Uruguay,3,2,0,0,10,16
"NETHERLANDS,QATAR",Netherlands,Qatar,1,0,0,0,19,9
"ECUADOR,SENEGAL",Ecuador,Senegal,0,1,0,0,23,11
"WALES,ENGLAND",Wales,England,3,1,0,0,16,9
"IRAN,UNITED STATES",Iran,United States,3,1,0,0,13,10
"AUSTRALIA,DENMARK",Australia,Denmark,2,1,0,0,11,10
"TUNISIA,FRANCE",Tunisia,France,1,0,0,0,14,6
"POLAND,ARGENTINA",Poland,Argentina,1,1,0,0,6,11
"SAUDI ARABIA,MEXICO",Saudi Arabia,Mexico,6,1,0,0,20,18
"CROATIA,BELGIUM",Croatia,Belgium,0,1,0,0,7,9
"CANADA,MOROCCO",Canada,Morocco,4,0,0,0,14,14
"JAPAN,SPAIN",Japan,Spain,3,0,0,0,9,6
"COSTA RICA,GERMANY",Costa Rica,Germany,1,0,0,0,3,9
"GHANA,URUGUAY",Ghana,Uruguay,2,5,0,0,18,11
"KOREA REPUBLIC,PORTUGAL",Korea Republic,Portugal,2,0,0,0,9,11
"SERBIA, SWITZERLAND",Serbia,Switzerland,7,4,0,0,18,13
"CAMEROON, BRAZIL",Cameroon,Brazil,3,2,1,0,14,14
"NETHERLANDS, UNITED",Netherlands,United States,2,0,0,0,10,5
"ARGENTINA , AUSTRALIA",Argentina,Australia,0,2,0,0,8,15
"FRANCE, POLAND",France,Poland,1,2,0,0,10,8
"ENGLAND, SENEGAL",England,Senegal,0,1,0,0,16,12
"JAPAN, CROATIA",Japan,Croatia,0,2,0,0,13,16
"BRAZIL, KOREA REPUBLIC",Brazil,Korea Republic,0,1,0,0,8,13
"MOROCCO, SPAIN",Morocco,Spain,1,1,0,0,15,14
"PORTUGAL, SWITZERLAND",Portugal,Switzerland,0,2,0,0,12,10
"CROATIA, BRAZIL",Croatia,Brazil,2,3,0,0,22,24
"NETHERLANDS, ARGENTINA",Netherlands,Argentina,6,8,1,0,30,18
"MOROCCO, PORTUGAL",Morocco,Portugal,1,1,1,0,15,9
"ENGLAND, FRANCE",England,France,1,3,0,0,10,14
"ARGENTINA, CROATIA",Argentina,Croatia,2,2,0,0,15,8
"MOROCCO, FRANCE",Morocco,France,0,1,0,0,11,11
"CROATIA, MOROCCO",Croatia,Morocco,0,2,0,0,13,11
"ARGENTINA, FRANCE",Argentina,France,5,3,0,0,28,19
