Partidas,Total de Cartão Amarelo,Total de Cartão vermelho,Total de Faltas
"QATAR,ECUADOR",6,0,30
"ENGLAND, IRAN",2,0,23
"SENEGAL,NETHERLANDS",3,0,26
"UNITED STATES,WALES",6,0,25
"ARGENTINA,SAUDI ARABIA",6,0,28
"DENMARK,TUNISIA",3,0,19
"MEXICO,POLAND",2,0,30
"FRANCE,AUSTRALIA",3,0,16
"MOROCCO,CROATIA",1,0,28
"GERMANY,JAPAN",0,0,20
"SPAIN,COSTA RICA",2,0,20
"BELGIUM,CANADA",5,0,25
"SWITZERLAND,CAMEROON",3,0,22
"URUGUAY,KOREA REPUBLIC",2,0,17
"PORTUGAL,GHANA",6,0,33
"BRAZIL,SERBIA",3,0,19
"WALES,IRAN",3,1,19
"QATAR,SENEGAL",6,0,19
"NETHERLANDS,ECUADOR",1,0,27
"ENGLAND,UNITED STATES",0,0,24
"TUNISIA,AUSTRALIA",3,0,31
"POLAND,SAUDI ARABIA",5,0,33
"FRANCE,DENMARK",3,0,13
"ARGENTINA,MEXICO",5,0,34
"JAPAN,COSTA RICA",6,0,31
"BELGIUM,MOROCCO",2,0,24
"CROATIA,CANADA",4,0,18
"SPAIN,GERMANY",4,0,24
"CAMEROON,SERBIA",4,0,21
"KOREA REPUBLIC,GHANA",4,0,22
"BRAZIL,SWITZERLAND",2,0,27
"PORTUGAL,URUGUAY",5,0,26
"NETHERLANDS,QATAR",1,0,28
"ECUADOR,SENEGAL",1,0,34
"WALES,ENGLAND",4,0,25
"IRAN,UNITED STATES",4,0,23
"AUSTRALIA,DENMARK",3,0,21
"TUNISIA,FRANCE",1,0,20
"POLAND,ARGENTINA",2,0,17
"SAUDI ARABIA,MEXICO",7,0,38
"CROATIA,BELGIUM",1,0,16
"CANADA,MOROCCO",4,0,28
"JAPAN,SPAIN",3,0,15
"COSTA RICA,GERMANY",1,0,12
"GHANA,URUGUAY",7,0,29
"KOREA REPUBLIC,PORTUGAL",2,0,20
"SERBIA, SWITZERLAND",11,0,31
"CAMEROON, BRAZIL",5,1,28
"NETHERLANDS, UNITED",2,0,15
"ARGENTINA , AUSTRALIA",2,0,23
"FRANCE, POLAND",3,0,18
"ENGLAND, SENEGAL",1,0,28
"JAPAN, CROATIA",2,0,29
"BRAZIL, KOREA REPUBLIC",1,0,21
"MOROCCO, SPAIN",2,0,29
"PORTUGAL, SWITZERLAND",2,0,22
"CROATIA, BRAZIL",5,0,46
"NETHERLANDS, ARGENTINA",14,1,48
"MOROCCO, PORTUGAL",2,1,24
"ENGLAND, FRANCE",4,0,24
"ARGENTINA, CROATIA",4,0,23
"MOROCCO, FRANCE",1,0,22
"CROATIA, MOROCCO",2,0,24
"ARGENTINA, FRANCE",8,0,47
