Partidas,Time 1,Time 2,Cartão Amarelo,,,Cartão vermelho,,,Faltas,,
,,,time 1,time 2,Total,time 1,time 2,Total,Time 1,Time 2,Total
"QATAR,ECUADOR",Qatar,Equador,4,2,6,0,0,0,15,15,30
"ENGLAND, Iran",England,Iran,0,2,2,0,0,0,9,14,23
"SENEGAL,NETHERLANDS",Senegal,Netherlands,2,1,3,0,0,0,13,13,26
"UNITED STATES,WALES",United States,Wales,4,2,6,0,0,0,15,10,25
"ARGENTINA,SAUDI ARABIA",Argentina,Saudi Arabia,0,6,6,0,0,0,7,21,28
"DENMARK,TUNISIA",Denmark,Tunisia,2,1,3,0,0,0,9,10,19
"MEXICO,POLAND",Mexico,Poland,2,0,2,0,0,0,14,16,30
"FRANCE,AUSTRALIA",France,Australia,0,3,3,0,0,0,5,11,16
"MOROCCO,CROATIA",Morocco,Croatia,1,0,1,0,0,0,17,11,28
"GERMANY,JAPAN",Germany,Japan,0,0,0,0,0,0,6,14,20
"SPAIN,COSTA RICA",Spain,Costa RIca,0,2,2,0,0,0,8,12,20
"BELGIUM,CANADA",Belgium,Canada,3,2,5,0,0,0,11,14,25
"SWITZERLAND,CAMEROON",Switzerland,Cameroon,2,1,3,0,0,0,12,10,22
"URUGUAY,KOREA REPUBLIC",Uruguay,Korea Republic,1,1,2,0,0,0,7,10,17
"PORTUGAL,GHANA",Portugal,Ghana,2,4,6,0,0,0,14,19,33
"BRAZIL,SERBIA",Brazil,Serbia,0,3,3,0,0,0,7,12,19
"WALES,IRAN",Wales,Iran,1,2,3,1,0,1,9,10,19
"QATAR,SENEGAL",Qatar,Senegal,3,3,6,0,0,0,7,12,19
"NETHERLANDS,ECUADOR",Netherlands,Ecuador,0,1,1,0,0,0,15,12,27
"ENGLAND,UNITED STATES",England,United States,0,0,0,0,0,0,9,15,24
"TUNISIA,AUSTRALIA",Tunisia,Australia,3,0,3,0,0,0,16,15,31
"POLAND,SAUDI ARABIA",Poland,Saudi Arabia,3,2,5,0,0,0,18,15,33
"FRANCE,DENMARK",France,Denmark,1,2,3,0,0,0,4,9,13
"ARGENTINA,MEXICO",Argentina,Mexico,1,4,5,0,0,0,15,19,34
"JAPAN,COSTA RICA",Japan,Costa RIca,3,3,6,0,0,0,22,9,31
"BELGIUM,MOROCCO",Belgium,Morocco,1,1,2,0,0,0,10,14,24
