Partidas,Cartão Amarelo time 1,Cartão Amarelo time 2,Cartão vermelho time 1,Cartão vermelho time 2,Faltas Time 1,Faltas Time 2
"QATAR,ECUADOR",4,2,0,0,15,15
"ENGLAND, Iran",0,2,0,0,9,14
"SENEGAL,NETHERLANDS",2,1,0,0,13,13
"UNITED STATES,WALES",4,2,0,0,15,10
"ARGENTINA,SAUDI ARABIA",0,6,0,0,7,21
"DENMARK,TUNISIA",2,1,0,0,9,10
"MEXICO,POLAND",2,0,0,0,14,16
"FRANCE,AUSTRALIA",0,3,0,0,5,11
"MOROCCO,CROATIA",1,0,0,0,17,11
"GERMANY,JAPAN",0,0,0,0,6,14
"SPAIN,COSTA RICA",0,2,0,0,8,12
"BELGIUM,CANADA",3,2,0,0,11,14
"SWITZERLAND,CAMEROON",2,1,0,0,12,10
"URUGUAY,KOREA REPUBLIC",1,1,0,0,7,10
"PORTUGAL,GHANA",2,4,0,0,14,19
"BRAZIL,SERBIA",0,3,0,0,7,12
"WALES,IRAN",1,2,1,0,9,10
"QATAR,SENEGAL",3,3,0,0,7,12
"NETHERLANDS,ECUADOR",0,1,0,0,15,12
"ENGLAND,UNITED STATES",0,0,0,0,9,15
"TUNISIA,AUSTRALIA",3,0,0,0,16,15
"POLAND,SAUDI ARABIA",3,2,0,0,18,15
"FRANCE,DENMARK",1,2,0,0,4,9
"ARGENTINA,MEXICO",1,4,0,0,15,19
"JAPAN,COSTA RICA",3,3,0,0,22,9
"BELGIUM,MOROCCO",1,1,0,0,10,14
"CROATIA,CANADA",2,2,0,0,13,5
"SPAIN,GERMANY",1,3,0,0,13,11
"CAMEROON,SERBIA",2,2,0,0,8,13
"KOREA REPUBLIC,GHANA",2,2,0,0,13,9
"BRAZIL,SWITZERLAND",1,1,0,0,10,17
"PORTUGAL,URUGUAY",3,2,0,0,10,16
"NETHERLANDS,QATAR",1,0,0,0,19,9
"ECUADOR,SENEGAL",0,1,0,0,23,11
"WALES,ENGLAND",3,1,0,0,16,9
"IRAN,UNITED STATES",3,1,0,0,13,10
"AUSTRALIA,DENMARK",2,1,0,0,11,10
"TUNISIA,FRANCE",1,0,0,0,14,6
"POLAND,ARGENTINA",1,1,0,0,6,11
"SAUDI ARABIA,MEXICO",6,1,0,0,20,18
"CROATIA,BELGIUM",0,1,0,0,7,9
"CANADA,MOROCCO",4,0,0,0,14,14
"JAPAN,SPAIN",3,0,0,0,9,6
"COSTA RICA,GERMANY",1,0,0,0,3,9
"GHANA,URUGUAY",2,5,0,0,18,11
"KOREA REPUBLIC,PORTUGAL",2,0,0,0,9,11
"SERBIA, SWITZERLAND",7,4,0,0,18,13
"CAMEROON, BRAZIL",3,2,1,0,14,14
"NETHERLANDS, UNITED",2,0,0,0,10,5
"ARGENTINA , AUSTRALIA",0,2,0,0,8,15
"FRANCE, POLAND",1,2,0,0,10,8
"ENGLAND, SENEGAL",0,1,0,0,16,12
"JAPAN, CROATIA",0,2,0,0,13,16
"BRAZIL, KOREA REPUBLIC",0,1,0,0,8,13
"MOROCCO, SPAIN",1,1,0,0,15,14
"PORTUGAL, SWITZERLAND",0,2,0,0,12,10
"CROATIA, BRAZIL",2,3,0,0,22,24
"NETHERLANDS, ARGENTINA",6,8,1,0,30,18
"MOROCCO, PORTUGAL",1,1,1,0,15,9
"ENGLAND, FRANCE",1,3,0,0,10,14
"ARGENTINA, CROATIA",2,2,0,0,15,8
"MOROCCO, FRANCE",0,1,0,0,11,11
"CROATIA, MOROCCO",0,2,0,0,13,11
"ARGENTINA, FRANCE",5,3,0,0,28,19
